_,id,title,photo,date,creator,left,broadcast,verified,megagroup,restricted,signatures,min,scam,has_link,has_geo,slowmode_enabled,call_active,call_not_empty,fake,gigagroup,noforwards,join_to_send,join_request,forum,access_hash,username,restriction_reason,admin_rights,banned_rights,default_banned_rights,participants_count,usernames,counter_x,from_messages_x,channel_request_x,channel_req_targeted_by_x,source_x,counter_y,from_messages_y,channel_request_y,channel_req_targeted_by_y,source_y,counter_x.1,from_messages_x.1,channel_request_x.1,channel_req_targeted_by_x.1,source_x.1,counter_y.1,from_messages_y.1,channel_request_y.1,channel_req_targeted_by_y.1,source_y.1,counter_x.2,from_messages_x.2,channel_request_x.2,channel_req_targeted_by_x.2,source_x.2,counter_y.2,from_messages_y.2,channel_request_y.2,channel_req_targeted_by_y.2,source_y.2,counter,from_messages,channel_request,channel_req_targeted_by,source
Channel,1339875051,MS News,"{'_': 'ChatPhoto', 'photo_id': 6237582271452393519, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08>O\xf6\xbfJ(\xa2\xb0=\x0b\x1f'}",2019-08-04 01:16:36+00:00,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-430425467373536997,mustsharenews,[],,,,50152,[],109.0,108.0,1.0,{'channels': ['self']},['mustsharenews'],1.0,1.0,0.0,{'channels': ['self']},['talktotallkoh'],,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1346094227,Eatbook,"{'_': 'ChatPhoto', 'photo_id': 6122717953850978930, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xb0wy\xb9\x00\xf9\xbf\xd6\x8a(\xa4j\xdd\x8f'}",2018-03-29 09:31:33+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5972710027228822225,eatbooksg,[],,,,45276,[],96.0,96.0,0.0,{'channels': ['self']},['mustsharenews'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1517241131,SG Home & Living - Uchify 🏠,"{'_': 'ChatPhoto', 'photo_id': 6053160468865986854, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xb7\xf8\x9f\xcb\xfa\xd1E\x15\x05\x9f'}",2022-02-04 08:46:04+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1782820014541356158,uchify_sg,[],,,,5599,[],5.0,5.0,0.0,{'channels': ['self']},['mustsharenews'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1227040125,TheSmartLocal,"{'_': 'ChatPhoto', 'photo_id': 58912593681688830, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xd7\xf9\xb7\xf4\xf9~\xb4QE\x00\x7f'}",2018-03-29 07:57:25+00:00,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6059564596842770488,TSLMedia,[],,,,38272,[],59.0,59.0,0.0,{'channels': ['self']},['mustsharenews'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1289471382,ZULA.sg,"{'_': 'ChatPhoto', 'photo_id': 1102079975725574124, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xa9\xfb\xff\x00\xed\x0f\xf9m\xe7\xe7\xf5\xff\x00\n(\xa2\x80?'}",2019-02-27 02:50:45+00:00,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3594661860282961629,zulasg,[],,,,7572,[],39.0,39.0,0.0,{'channels': ['self']},['mustsharenews'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1282063512,TheSmartLocal Malaysia,"{'_': 'ChatPhoto', 'photo_id': 6089157985638134820, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xd6\xdc\xdb\xfe\xe9\xdb\xd2\x8a(\xa0\x0f'}",2021-02-23 05:47:52+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6120521053273923399,thesmartlocalmy,[],,,,1272,[],8.0,8.0,0.0,{'channels': ['self']},['mustsharenews'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1453329599,SG Weekend Plans,"{'_': 'ChatPhoto', 'photo_id': 116242719091829526, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x90L\xbeY|\xf1\xebE\x14SD8\xa3'}",2022-09-12 10:26:28+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-1049163492726785119,sgweekend,[],,,,69234,[],1.0,1.0,0.0,{'channels': ['self']},['mustsharenews'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1204657101,SG Food Deals,"{'_': 'ChatPhoto', 'photo_id': 116242719091829529, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xb9\xb0m\xdd\x9f\xc34QE4h\x7f'}",2019-03-11 06:47:55+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3856864455560084750,sgfooddeals,[],,,,123228,[],3.0,3.0,0.0,{'channels': ['self']},['mustsharenews'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1447617542,TheSmartLocal Vietnam,"{'_': 'ChatPhoto', 'photo_id': 6170176595147467600, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xd6\xcbo\xfb\xa7\x1fZ(\xa2\x80?'}",2021-02-23 06:23:30+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,117176468291592320,thesmartlocalvn,[],,,,63,[],1.0,1.0,0.0,{'channels': ['self']},['mustsharenews'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1478293100,SG Tech & Games,"{'_': 'ChatPhoto', 'photo_id': 6264571811580717499, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08_\x9f\xae8\xe9\xd7\xf5\xa2\x8a+\x0ek\xf4;\x14m\xd4'}",2020-03-03 10:11:25+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7675109776456462080,techngames,[],,,,12934,[],1.0,1.0,0.0,{'channels': ['self']},['mustsharenews'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1408358020,SG Giveaways & Freebies,"{'_': 'ChatPhoto', 'photo_id': 6115999388049454499, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x93\xcb\x7f;?\xbc\xf3\xfa\xf4\xe3?_J(\xa2\xb3Sl\xb7\xa1'}",2020-02-11 03:56:23+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-8153369295131244131,freebiessg,[],,,,6242,[],1.0,1.0,0.0,{'channels': ['self']},['mustsharenews'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1331885620,SG New Movies & Shows,"{'_': 'ChatPhoto', 'photo_id': 116242719091829536, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xad\xf6!\xf6?4\xba\xe7n\xecc\xb5\x14QP\x9b4qG'}",2019-06-21 07:33:50+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-3589162028947919337,sgnewmovies,[],,,,22730,[],1.0,1.0,0.0,{'channels': ['self']},['mustsharenews'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1318965360,talking to tallkoh,"{'_': 'ChatPhoto', 'photo_id': 6320976813920203542, 'dc_id': 5, 'has_video': True, 'stripped_thumb': b'\x01\x08\x08\xc8^\x84q\xcd\x14Q@\x1f'}",2022-08-13 02:48:42+00:00,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-2996991817807466191,talktotallkoh,[],"{'_': 'ChatAdminRights', 'change_info': True, 'post_messages': True, 'edit_messages': True, 'delete_messages': True, 'ban_users': True, 'invite_users': True, 'pin_messages': True, 'add_admins': True, 'anonymous': False, 'manage_call': True, 'other': True, 'manage_topics': True}",,,30,[],,,,,,9.0,8.0,1.0,{'channels': ['self']},['talktotallkoh'],1.0,0.0,1.0,{'channels': ['self']},['talktotallkoh'],,,,,,,,,,,,,,,,,,,,
Channel,1228946795,a user,{'_': 'ChatPhotoEmpty'},2019-03-15 13:01:57+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6002221038250764813,HiddenSender,[],,,,320815,[],,,,,,3.0,3.0,0.0,{'channels': ['self']},['talktotallkoh'],,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1339875051,MS News,"{'_': 'ChatPhoto', 'photo_id': 6237582271452393519, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08>O\xf6\xbfJ(\xa2\xb0=\x0b\x1f'}",2019-08-04 01:16:36+00:00,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-430425467373536997,mustsharenews,[],,,,50153,[],,,,,,1.0,1.0,0.0,{'channels': ['self']},['talktotallkoh'],,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1255337314,SG Concerts by Bandwagon,"{'_': 'ChatPhoto', 'photo_id': 1180494361879750817, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xca\x1bvw\xdf\x9f\xc3\x14QEYG'}",2019-03-09 18:18:59+00:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6379050070160364177,sgconcerts,[],,,,43277,[],,,,,,1.0,1.0,0.0,{'channels': ['self']},['talktotallkoh'],,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1374514533,heaRHtfelt messages🤍,"{'_': 'ChatPhoto', 'photo_id': 6071126201101036332, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xd4\xa2\x8a(4?'}",2020-10-15 08:18:35+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3348901679698595495,heaRHtfeltchannel,[],,,,302,[],,,,,,1.0,1.0,0.0,{'channels': ['self']},['talktotallkoh'],,,,,,,,,,,,,,,,,,,,,,,,,
Channel,1318965360,talking to tallkoh,"{'_': 'ChatPhoto', 'photo_id': 6320976813920203542, 'dc_id': 5, 'has_video': True, 'stripped_thumb': b'\x01\x08\x08\xc8^\x84q\xcd\x14Q@\x1f'}",2022-08-13 02:48:42+00:00,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-2996991817807466191,talktotallkoh,[],"{'_': 'ChatAdminRights', 'change_info': True, 'post_messages': True, 'edit_messages': True, 'delete_messages': True, 'ban_users': True, 'invite_users': True, 'pin_messages': True, 'add_admins': True, 'anonymous': False, 'manage_call': True, 'other': True, 'manage_topics': True}",,,30,[],,,,,,,,,,,1.0,0.0,1.0,{'channels': ['self']},['talktotallkoh'],,,,,,,,,,,,,,,,,,,,
Channel,1609498893,NUS SoC 23/24 Freshmen,"{'_': 'ChatPhoto', 'photo_id': 6253778648960185867, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xa0\x1b\nT\xf2\xe4\xe4q\xd0\xd1E\x15fm\x9f'}",2023-05-16 10:49:21+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,7397031942974611274,socfreshmen2324,[],"{'_': 'ChatAdminRights', 'change_info': True, 'post_messages': True, 'edit_messages': True, 'delete_messages': True, 'ban_users': True, 'invite_users': True, 'pin_messages': False, 'add_admins': True, 'anonymous': False, 'manage_call': True, 'other': True, 'manage_topics': False}",,,1082,[],,,,,,,,,,,,,,,,1.0,0.0,1.0,{'channels': ['self']},['socfreshmen2324'],,,,,,,,,,,,,,,
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23438,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23449,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23449,[],,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals'],21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
Channel,1233797064,divedeals.sg [Deals/Promos],"{'_': 'ChatPhoto', 'photo_id': 6059675663671077574, 'dc_id': 5, 'has_video': False, 'stripped_thumb': b""\x01\x08\x08\x91B\x08\x89',}{sE\x14WB9[?""}",2022-10-06 04:49:06+00:00,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5102102604267482389,sgdivedeals,[],,,,23449,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,20.0,1.0,{'channels': ['self']},['sgdivedeals']
